"","x"
"1315","Cpne2"
"1316","Arl2bp"
"1317","Ciapin1"
"1318","Adgrg3"
"1319","Csnk2a2"
"1320","Cklf"
"1321","Ciao2b"
"1322","Acd"
"1323","Pla2g15"
"1324","Slc7a6os"
"1325","Psmd7"
"1326","Zfhx3"
"1327","Sf3b3"
"1328","St3gal2"
"1329","Cfdp1"
"1330","Terf2ip"
"1331","Nudt7"
"1332","Cmc2"
"1333","Hsd17b2"
"1334","Klhl36"
"1335","Crispld2"
"1336","6430548M08Rik"
"1337","Klhdc4"
"1338","Zc3h18"
"1339","Cyba"
"1340","Rnf166"
"1341","Aprt"
"1342","Galns"
"1343","Trappc2l"
"1344","2810013P06Rik"
"1345","Spg7"
"1346","Rpl13"
"1347","Def8"
"1348","Afg3l1"
"1349","Rhou"
"1350","Ttc13"
"1351","Exoc8"
"1352","Coa6"
"1353","Irf2bp2"
"1354","Tomm20"
"1355","Rbm34"
"1356","Nrp1"
